CATEGORY,CATEGORY_DESC
6540,POI Funding Transactions (Excluding MoneySend)
7011,"Lodging - Hotels, Motels, and Resorts"
7012,Timeshares
7032,Sporting and Recreational Camps
7033,Trailer Parks and Campgrounds
7199,Unknown
7210,"Laundry, Cleaning, and Garment Services"
7211,Laundry Services - Family and Commercial
7216,Dry Cleaners
7217,Carpet and Upholstery Cleaning
7221,Photographic Studios
7230,Beauty and Barber Shops
7251,"Shoe Repair Shops, Shoe Shine Parlors, and Hat Cleaning Shops"
7261,Funeral Services and Crematories
7273,Dating Services
7276,Tax Preparation Services
7277,"Counseling Services - Debt, Marriage, and Personal"
7278,Buying and Shopping Services and Clubs
7296,"Clothing Rental - Costumes, Uniforms and Formal Wear"
7297,Massage Parlors
7298,Health and Beauty Spas
7299,Miscellaneous Personal Services - Not Elsewhere Classified
7311,Advertising Services
7321,Consumer Credit Reporting Agencies
7333,"Commercial Photography, Art, and Graphics"
7338,"Quick Copy, Reproduction Service"
7339,Stenographic Service
7342,Exterminating and Disinfecting Services
7349,"Cleaning, Maintenance & Janitorial Services"
7361,Employment Agencies and Temporary Help Services
7372,"Computer Programming, Data Processing, and Integrated Systems Design Services"
7375,Information Retrieval Services (Business to Business MCC)
7379,"Computer Maintenance, Repair and Services (Business to Business MCC)"
7392,"Management, Consulting, and Public Relations Services"
7393,"Detective Agencies, Protective Agencies, and Security Services, including Armored Cars and Guard Dogs"
7394,"Equipment, Tool, Furniture, and Appliance Rental and Leasing"
7395,Photofinishing Laboratories and Photo Developing
7399,Business Services
7512,Automobile Rental Agency
7513,Truck and Utility Trailer Rentals
7519,Motor Home and Recreational Vehicle Rentals
7523,Parking Lots and Garages
7531,Automotive Top & Body Shops
7534,Tire Retreading & Repair
7535,Automotive Paint Shops
7538,Automotive Service Shops (Non-Dealer)
7542,Car Washes
7549,Towing Services
7622,Electronic Repair Shops
7623,Air Conditioning and Refrigeration Repair Shops
7629,Electrical and Small Appliance Repair Shops
7631,"Watch, Clock, and Jewelry Repair Shops"
7692,Welding Services
7699,Miscellaneous Repair Shops and Related Services
7829,Motion Picture & Video Tape Production and Distribution (Business to Business MCC)
7832,Motion Picture Theater
7841,DVD/Video Tape Rental Stores
7911,"Dance Halls, Studios & Schools"
7922,Theatrical Producers (except Motion Pictures) and Ticket Agencies
7929,"Bands, Orchestras & Misc Entertainment"
7932,Billiards & Pool Establishments
7933,Bowling Alleys
7941,"Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters"
7991,Tourist Attractions and Exhibits
7992,Public Golf Courses
7993,Video Amusement Game Supply
7994,Video Game Arcades and Establishments
7995,"Betting, including Lottery Tickets, Casino Gaming Chips, Off- Track Betting, and Wagers at Race Track"
7996,"Amusement Parks, Circuses, Carnivals, and Fortune Tellers"
7997,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses"
7998,"Aquarium, Seaquarium, Dolphinariums"
7999,Recreation Services - Not Elsewhere Classified
8011,Doctors and Physicians - Not Elsewhere Classified
8021,Dentists and Orthodontists
8041,Chiropractors
8042,Optometrists and Ophthalmologists
8043,"Opticians, Optical Goods and Eyeglasses"
8049,Podiatrists and Chiropodists
8050,Nursing and Personal Care Facilities
8062,Hospitals
8071,Medical and Dental Laboratories
8099,Medical Services Health Practitioners - No Elsewhere Classified
8111,Legal Services and Attorneys
8211,Elementary and Secondary Schools
8220,"Colleges, Universities, Professional Schools, and Junior Colleges"
8241,Correspondence Schools
8244,Business and Secretarial Schools
8249,Trade and Vocational Schools
8299,Schools and Educational Services - Not Elsewhere Classified
8351,Child Care Services
8398,Charitable and Social Service Organizations
8641,"Civic, Social, and Fraternal Associations"
8651,Political Organizations
8661,Religious Organizations
8675,Automobile Associations
8699,Membership Organizations - Not Elsewhere Classified
8734,Testing Laboratories (Not Medical) - (Business to Business MCC)
8911,"Architectural, Engineering, and Surveying Services"
8931,"Accounting, Auditing, and Bookkeeping Services"
8999,Professional Services - Not Elsewhere Classified
9222,Fines
9223,Bail & Bond Payments
9311,Tax Payments
9399,Government Services - Not Elsewhere Classified
9402,Postal Services
410019,Transfer
410100,Interac e-Transfer Sent
440002,Withdrawal
440003,Withdrawal ABM
440004,Withdrawal Interac ABM
440009,POS Purchase - Type 1
440010,POS Purchase - Type 2
460000,Loan Payment
510000,Bill Payment
510008,Bill Payment Credit Card
530005,Direct Deposit
530006,Direct Debit
610020,Loan Transfer
610024,Transfer
610100,Interac e-Transfer Received
610105,Interac e-Transfer Autodeposit
630000,Deposit Cheque
